"ID","Hash","vendor","device/MCU model"
405,"f0bb29b8994a8777a6b395ba1720a29b",,
406,"784d9662d8cba979f1984f9674233e5b",,
407,"1a37ab00e9ffc490cc34c9c3c2fe56b6",,
408,"a91e402d8e4b0f3cd497ac6765776a8a",,
409,"0d64489d922d8443d6a689b82a3081bf",,
410,"c1e64b0ad40983250dd991fa645a2a96",,
411,"da4188768347dabc2ab9ee34f4536d90",,
412,"dc3506865ef3caa396b203de7ca70800",,
413,"54169a7e64a4364b23a3ae0ec2ac5474",,
414,"4d2e70aa6527d94ccb7a3a4e4f378a76",,
415,"088c691f2ed0646eac4eef386c4f68da",,
416,"029b1a0bd53561aa40d55749a0fbb084",,
417,"c3275bbc5d65e5e3c4a175bdd633e9b4",,
418,"ab27cfd42c2fe97bae4a56a6638274cc",,
419,"fcac092feca00d127e0e319179b0a527",,
420,"02d7f12fcd305f3d803b20c6ce74b1f4",,
421,"5c4570a3810394a9417168aa9b091fd9",,
422,"77b394d63b17d650e217317fab39abc7",,
423,"72da1b0e882df95af7db35ec48c4c210",,
424,"958e01464f1d0d79ee928248f9baf03d",,
425,"73958681c332533b50847cf1b59d55ce",,
426,"6c5a19dbf6ae175cae4498f3c72626e6",,
427,"c407426f6f625d616e757280d998b10d",,
428,"c6ffe25e4a57bc532fd7100b22626009",,
429,"2f6ba49d2b086e0355483ca7342d2553",,
430,"0fb74436cac5126154390c34642f9e48",,
431,"a1b79bc15e17a846e4eb27c06f8c9aee",,
432,"c647888adcf06d41f829fe38c8f53b07",,
433,"4d7cd911505036e8e4b7c93af67d9784",,
434,"ac0a66a1c56338ebddc7eec8e9e35d63",,
435,"02992fd961280580f932e81a24d67b4e",,
436,"c00e4d4847b87834a4a49f56786ed709",,
437,"1367c13220aa60952a932c48dacdb25d",,
438,"7d1ae370721ab3a5e622df44e594d262",,
439,"72e09c1803868b0aa8b364e385172658",,
440,"d08cedd493a35faf63d8f8be9b2f5a83",,
441,"3ea2f7a1935982d29a7f590c40140411",,
442,"293f2be6be338d4a08b1ef418002fbde",,
443,"00120afc1af28fcb7f450cc674531ca3","ti",
444,"bbe8456a8da15be066632f5e4332ce02",,
445,"8b1958712536dcfd3fbca294ad4781f9",,
446,"836ca4cec8727f2f13e03df0685d29dc",,
447,"d142a1de3665ce59f15c7c54575514ab",,
448,"77188df3b3c8cf8644f7681b3f608ff2",,
449,"5317f8a01e3fb3e052ed7809aac99d6a",,
450,"7853a620b352af549d7e63952cc39e0c",,
451,"007e2e08e54118463abf43962e11b7bc",,
452,"14c8ba8c3d7a342b1affe9bc87036db0",,
453,"7ba220b2c835b7f99763d2415571425f",,
454,"ba49ef34e810a8c86c7bb994048df5e4",,
455,"661f1e2ef7e54208f3e7a3f8a00ad3df",,
456,"5f34e13715c960fd2fb658fc8489f5a4","nordic",
457,"668c2adbe17f0247d26b18ee822ac3d2","nordic",
458,"5c6022a2e1fd513d4d622f58c32193f9",,
459,"eb29371fe486faa170d6695f1bd654b1",,
460,"def830ee4fb28b44bf99afb22cecebd9",,
461,"edc10b81142210682af42ffc23153d8f",,
462,"b447369b0d4b2cbee82733a9f311a1b6",,
463,"47c53ac46d6df3067abd504d0258f590",,
464,"8461459f8e8c8c74b0181c6f6582a891",,
465,"9686f9ba65c03fe20a42cf73a17e2af4",,
466,"146224e39ed420e8477d264c5aef1f08",,
